languageType,languageCode,languageName,tipSheetNumber,title
1,ms,Bahasa Melayu,14,Tip Sheet Number 14
1,ms,Bahasa Melayu,15,Tip Sheet Number 15
1,nb,Norsk,1,En-til-en tid
1,nb,Norsk,2,Hold en positiv tone
1,nb,Norsk,3,Lag en struktur for hverdagen!
1,nb,Norsk,4,Vanskelig oppførsel
1,nb,Norsk,5,Hold deg rolig og takle stress
1,nb,Norsk,6,Snakk om COVID-19
1,nd,isiNdebele,1,Isikhathi sokuxoxisana libabili
1,nd,isiNdebele,2,Cabanga okuhle ngaso sonke isikhathi
1,nd,isiNdebele,3,Hlelani okokwenza
1,nd,isiNdebele,4,Ukungaziphathi okuhle
1,nd,isiNdebele,5,Uzithobe unanzelele okukukhathazayo / istress
1,nd,isiNdebele,6,Ukuxoxisana ngeCOVID-19
1,pt,Portuguese,1,tempo de qualidade
1,pt,Portuguese,2,Manter uma atitude positive
1,pt,Portuguese,3,Organização total!
1,pt,Portuguese,4,Mau comportamento
1,pt,Portuguese,5,Manter a calma e gerir o stress
1,pt,Portuguese,6,Conversar sobre o COVID-19
1,pt,Portuguese,7,Como manter as crianças seguras na Internet
1,pt,Portuguese,8,Orçamento Familiar em Tempos de Stress Financeiro
1,pt,Portuguese,9,Harmonia familiar no lar
1,pt,Portuguese,10,Aprender Através de Jogos
1,pt,Portuguese,11,Quando Ficamos Irritados
1,pt,Portuguese,12,Cuidados parentais em Casas e Comunidades Sobrelotadas
1,pt,Portuguese,13,Dicas para Crianças Portadoras de Deficiências
1,pt,Portuguese,14,Dicas para pais de adolescentes
1,pt,Portuguese,15,É Pai/Mãe de um Novo Bebé
1,pt,Portuguese,16,Educação e aprendizagem remota
1,rw,Ikinyarwanda,1,Igihe cy'umubyeyi n'Umwna
1,rw,Ikinyarwanda,2,Gumana Intumbero nziza
1,rw,Ikinyarwanda,3,Shyiraho umuteguro!
1,rw,Ikinyarwanda,4,Imyitwarire mibi
1,rw,Ikinyarwanda,5,Tuza kandi Ugenzure Guhangayika
1,rw,Ikinyarwanda,6,Kuvuga ibijyanye na COVID-19
1,rw,Ikinyarwanda,7,Rinda abana ku imbuga nkoranyambaga!
1,rw,Ikinyarwanda,8,Bije y'umuryango
1,rw,Ikinyarwanda,9,Imigenderanire mu muryango
1,rw,Ikinyarwanda,10,Igira mu gukina
1,rw,Ikinyarwanda,11,Iyo turakeye…
1,rw,Ikinyarwanda,12,Kurere mu gihe urugo rwuzuye abantu?
1,sl,Slovenščina,1,Čas “ena na ena”
1,sl,Slovenščina,2,Bodite pozitivni
1,sl,Slovenščina,3,Načrtujte
1,sl,Slovenščina,4,Neprimerno vedenje
1,sl,Slovenščina,5,Ostanite mirni in upravljajte s stresom
1,sl,Slovenščina,6,Pogovor o COVID-19
1,sn,Shona,1,Nguva yakaringana neumwe neumwe mumhuri
1,sn,Shona,2,Kuchengetedza tariro
1,sn,Shona,3,Ivai nehurongwa wakajeka
1,sn,Shona,4,Hunhu hwakaipa
1,sn,Shona,5,Gadzikanai nekugona kusanetsekana mupfungwa
1,sn,Shona,6,Kutaura nezve COVID-19
1,sr,Serbian,2,Будите позитивни
1,sr,Serbian,3,Направите план!
1,sr,Serbian,4,Лоше понашање
1,sr,Serbian,5,Останите смирени и контролишите стрес
1,sr,Serbian,6,Када говоримо о COVID-19
1,sw-tz,Kiswahili (Tanzania),1,Wakati wa moja kwa moja
1,sw-tz,Kiswahili (Tanzania),2,Kuweka chanya
1,sw-tz,Kiswahili (Tanzania),3,Muundo!
1,sw-tz,Kiswahili (Tanzania),4,Tabia mbaya
1,sw-tz,Kiswahili (Tanzania),5,Tulia ili ukabiliane na msongo
1,sw-tz,Kiswahili (Tanzania),6,Mazungumzo kuhusu COVID-19
2,uk,українська мова,1,Час один на один
2,uk,українська мова,2,Тримайтесь позитиву
2,uk,українська мова,3,Складіть розклад!
2,uk,українська мова,4,Погана поведінка
2,uk,українська мова,5,Зберігайте спокій та керуйте стресом
2,uk,українська мова,6,Як говорити про COVID-19
2,uz,Ўзбек,1,Бола билан шахсий вақт ўтказинг
2,uz,Ўзбек,2,Кўтаринки руҳни сақланг
2,uz,Ўзбек,3,Режа қилинг!
2,uz,Ўзбек,4,Ёмон хулқ–атвор
2,uz,Ўзбек,5,Хотиржам бўлинг  стрессга енгилманг
2,uz,Ўзбек,6,COVID-19 ҳақида cyҳБатлap
1,vi,Tiếng Việt Nam,1,Dành thời gian với con trẻ
1,vi,Tiếng Việt Nam,2,Luôn tạo cảm xúc tích cực
1,vi,Tiếng Việt Nam,3,Lên lịch trình nào!
1,vi,Tiếng Việt Nam,4,Ứng phó với những hành vi không đúng đắn của trẻ
1,vi,Tiếng Việt Nam,5,Giữ bình tĩnh và kiểm soát sự căng thẳng
1,vi,Tiếng Việt Nam,6,Cùng nhau nói chuyện về chủ đề COVID-19
1,vi,Tiếng Việt Nam,7,Bảo đảm an toàn cho trẻ trên mạng
1,vi,Tiếng Việt Nam,8,Cân đối ngân sách gia đình trong giai đoạn khó khăn về tài chính
1,vi,Tiếng Việt Nam,9,Gia đình hòa thuận
1,vi,Tiếng Việt Nam,10,Học thông qua vui chơi
1,vi,Tiếng Việt Nam,11,Làm gì khi nóng giận
1,vi,Tiếng Việt Nam,12,Chăm sóc con trong môi truống nhà ờ và cộng đông đông đúc
1,xh,isiXhosa,1,Ixesha Lomnye Nomnye
1,xh,isiXhosa,2,Yigcine ilungilee
1,xh,isiXhosa,3,Ulwakhiwo PheisiZulu
1,xh,isiXhosa,4,Isimilo esingalunganga
1,xh,isiXhosa,5,Hlala uzolile kwaye ululawule uxinzelelo
1,xh,isiXhosa,6,Ukuthetha malunga ne COVID-19
1,pt-mz,Moçambique África Oriental Portuguesa,1,Tempo para pasar juntos com os miudos
1,pt-mz,Moçambique África Oriental Portuguesa,2,Mantendo-o positivo
1,pt-mz,Moçambique África Oriental Portuguesa,3,Estructurar
1,pt-mz,Moçambique África Oriental Portuguesa,4,Mau comportamento
1,pt-mz,Moçambique África Oriental Portuguesa,5,Fica com calma y gestiona o estress
1,pt-mz,Moçambique África Oriental Portuguesa,6,Falar sobre COVID-19
1,kdj,Nyakarimojong,1,Aŋolo saa daadaŋ kaapei aŋipeipei
1,kdj,Nyakarimojong,2,Kitojoikinite
1,kdj,Nyakarimojong,3,Kinapanak etic ejok!
1,kdj,Nyakarimojong,4,ŋipitesyo ŋulu aronok.
1,kdj,Nyakarimojong,5,Kisilite itopedoria ŋuna ikitokadakinete
1,kdj,Nyakarimojong,6,Akirworwo ŋuna ke ECOVID-19
1,jmn,Makury Naga,1,Tsokzüglë khat zang yëng tengsüg achit peitdei
1,jmn,Makury Naga,2,Tsügteng (atsüg pü la ngu chüvt) peit ney
1,jmn,Makury Naga,3,Niküv khat teng jaa tsüg jongmëchong ney
1,jmn,Makury Naga,4,Amëtsüg leilabala
1,jmn,Makury Naga,5,Kengsügzë leng khëlë lengtüt o she a loknüng ney
1,jmn,Makury Naga,6,COVID-19 leila shügthëngëtdei
1,kac,Jinghpaw,1,Ma langai hkrai hpe laksan aten jaw u
1,kac,Jinghpaw,2,Mai kaja ai hku mu ya u
1,kac,Jinghpaw,3,Lani mi hpe tup hkrak hparn u
1,kac,Jinghpaw,4,N kaja ai sat lawat
1,kac,Jinghpaw,5,Myit hpe zim sha tawn u. Myit tsinyam hpe hkang u
1,kac,Jinghpaw,6,COVID-19 a lam tsun dan ai lam
1,hil,Hiligaynon (Ilonggo),1,One-on-One Time
1,hil,Hiligaynon (Ilonggo),2,Ang paghambal sang mga positibo nga bagay
1,hil,Hiligaynon (Ilonggo),3,Pagtukod sang kahimusan
1,hil,Hiligaynon (Ilonggo),4,Ang pagpasawy sang bata
1,hil,Hiligaynon (Ilonggo),5,Pagpakalma kag pagdumala sang stress
1,hil,Hiligaynon (Ilonggo),6,Ang pagsugilanon parte sa COVID 19
1,az,Azərbaycan dili,1,Baş-başa qaldığınız vaxtın keçirilməsi
1,az,Azərbaycan dili,2,Müsbət əhval-ruhiyyənin saxlanılması
1,az,Azərbaycan dili,3,Vaxtın təşkil edilməsi
1,az,Azərbaycan dili,4,İntizama əməl edilməsi
1,az,Azərbaycan dili,5,Sakitliyin saxlanılması və vaxtın idarə edilməsi
1,az,Azərbaycan dili,6,Uşaqlara COVID 19 haqqında danışın
1,it,Italiano,1,Tempo Insieme
1,it,Italiano,2,Restare Positivi
1,it,Italiano,3,Ci Vuole Organizzazione
1,it,Italiano,4,Cattivo Comportamento
1,it,Italiano,5,State Calmi e Controllate lo Stress
1,it,Italiano,6,Parlare di COVID-19
1,it,Italiano,7,Tenere i figli al sicuro quando sono online
1,it,Italiano,8,Pianificare la spesa famigliare in tempi di difficoltà finanziarie
1,it,Italiano,9,Armonia famigliare nella casa
1,it,Italiano,10,Imparare attraverso il gioco
1,it,Italiano,11,Quando ci arrabbiamo
1,it,Italiano,12,Essere genitori in case e comunità affollate
1,es,Español,1,Tiempo Uno-a-Uno
1,es,Español,2,Manteniendo un ambiente positivo
1,es,Español,3,¡Establece una base segura!
1,es,Español,4,Mal Comportamiento
1,es,Español,5,Mantén la calma y maneja el estrés
1,es,Español,6,Conversando acerca del COVID-19
1,es,Español,7,Mantener Seguros a los Niños en Internet
1,es,Español,8,Presupuesto Familiar en Tiempos de Estrés Financiero
1,es,Español,9,Armonía familiar en el hogar
1,es,Español,10,Aprendiendo a través del juego
1,es,Español,11,Cuando nos Enojamos
1,es,Español,12,Crianza de hijos en viviendas y comunidades sobrepobladas
1,es,Español,13,"Consejos para niños, niñas y adolescentes con discapacidad"
1,es,Español,14,Consejos para padres de adolescentes
1,es,Español,15,¿Eres madre o padre de un nuevo bebé?
1,es,Español,16,Educación y aprendizaje a distancia
1,tsn,Setswana,1,Nako ya bana ka bonosi
1,tsn,Setswana,2,Dira gore onne le bomolemo
1,tsn,Setswana,3,Ithulaganye!
1,tsn,Setswana,4,Maitshwaro a a sa siamang
1,tsn,Setswana,5,Ritibatsa maikutlo o ພາສາລາວle kgatelelo maikutlo
1,tsn,Setswana,6,Go bua ka COVID-19
1,tsn,Setswana,7,Go babalela bana fa ba le mo maranyanong.
1,tsn,Setswana,8,Tekanyetso kabo ya  madi ya malwapa mo dinakong tsa kgatelelo maikutlo ee bakwang ke madi
1,tsn,Setswana,9,Kutlwana ya balelwapa mo lelwapeng
1,tsn,Setswana,10,Go ithuta ka go tshameka
1,tsn,Setswana,11,Fa re ga lefa.
1,tsn,Setswana,12,Thuto le kgodiso ya ngwana kwa malwapeng a a leng mosuke.
1,yo,Èdè Yorùbá,1,Ọkan-lori-kan akoko
1,yo,Èdè Yorùbá,2,Mimu Ki o Wa Ni Rere
1,yo,Èdè Yorùbá,3,Igbekalẹ!
1,yo,Èdè Yorùbá,4,Ihuwasi buburu
1,yo,Èdè Yorùbá,5,Jeki tunu wa ko si Ṣakoso wahala
1,yo,Èdè Yorùbá,6,Sisọrọ nipa COVID-19
1,cy,Cymraeg,1,Amser unigol
1,cy,Cymraeg,2,Cadw’n Bositif
1,cy,Cymraeg,3,Creu strwythur!
1,cy,Cymraeg,4,Ymddygiad Drwg
1,cy,Cymraeg,5,Cadw'n Dawel a Rheoli Straen
1,cy,Cymraeg,6,Siarad am COVID-19
1,cy,Cymraeg,7,Cadw Plant yn Ddiogel Ar-lein.
1,cy,Cymraeg,8,Cyllidebu Teuluol mewn Cyfnodau o Straen Ariannol.
1,cy,Cymraeg,9,Cytgord teuluol gartref.
1,cy,Cymraeg,10,Dysgo drwy chwarane.
1,cy,Cymraeg,11,Pan Fyddwn Ni'n Gwylltio
1,cy,Cymraeg,12,Rhianta mewn Cartrefia Chymunedao gorlawn.
1,vu,Vanuatu,1,Yu mo pikinini
1,vu,Vanuatu,2,Kipim wan atitud we i positiv
1,vu,Vanuatu,3,Putumap wan strakja!
1,vu,Vanuatu,4,Rabis fasin
1,vu,Vanuatu,5,No Wari tumas mo Kontrolem yu
1,vu,Vanuatu,6,Tokbaot COVID-19
1,tr,Türkçe,1,Bire-Bir Zaman Geçirin
1,tr,Türkçe,2,Pozitif Kalın
1,tr,Türkçe,3,Destek Olun
1,tr,Türkçe,4,Kötü Davranış
1,tr,Türkçe,5,Sakin Olun ve Stresle Başa Çıkın
1,tr,Türkçe,6,COVID-19 Hakkında Konuşmak
1,tr,Türkçe,7,Çocukların Çevrimiçi Güvenliğini Sağlamak
1,tr,Türkçe,8,Maddi Sıkıntıların Yaşandığı Dönemlerde Aile Bütçesini Planlamak
1,tr,Türkçe,9,Evde aile uyumu
1,tr,Türkçe,10,Oyunlaöğrenme
1,tr,Türkçe,11,Kızdığımız Zaman Ne Yapmalıyız
1,tr,Türkçe,12,Kalabalık evlerde ve topluluklarda ebeveynlik
1,tr,Türkçe,13,Engeli olan Çocuklar İçin İpuçları
1,tr,Türkçe,14,Ergenlere ebeveynlik için ipuçları
1,tr,Türkçe,15,Yeni Doğan Bebeğinize Ebeveynlik Mi Yapıyorsunuz?
1,tr,Türkçe,16,Eğitim ve uzaktan öğrenme
2,tg,забо́ни тоҷикӣ́,4,Бехатарии кӯдакон дар интернет
2,tg,забо́ни тоҷикӣ́,6,Буҷети оилавӣ дар замони душвории молиявӣ
2,tg,забо́ни тоҷикӣ́,5,Созиши оилавӣ дар хона
2,tg,забо́ни тоҷикӣ́,7,Омӯзиш тариқи бозӣ
2,tg,забо́ни тоҷикӣ́,8,Вақте ки мо хашмгин мешавем
2,tg,забо́ни тоҷикӣ́,9,Тарбия дар хонаҳо ва ҷомеаҳои серодам
2,tg,забо́ни тоҷикӣ́,1,Вақти шахсӣ бо кӯдак
2,tg,забо́ни тоҷикӣ́,2,Нигоҳ доштани эҳсоси мусбӣ
2,tg,забо́ни тоҷикӣ́,3,Тарҳрезӣ кунед!
2,tg,забо́ни тоҷикӣ́,4,Рафтори бад!
2,tg,забо́ни тоҷикӣ́,5,Ором бошед ва изтироби худро идора намоед!
2,tg,забо́ни тоҷикӣ́,6,Гуфтугӯ дар бораи COVID-19
1,nyn,Runyankore,1,Omuntu ha muntu-omurundi gumwe
1,nyn,Runyankore,2,Oguma nohura kurungi (Okwegaramu amaani)
1,nyn,Runyankore,3,Tonguna Eniragiro
1,nyn,Runyankore,4,Emichwe emiibi
1,nyn,Runyankore,5,Oyikikane kandi ojezeho kwehara okwelaligirira
1,nyn,Runyankore,6,Okugamba aha bulwire bwa COVID-19
1,pl,Polski,1,Czas sam na sam
1,pl,Polski,2,Myśl pozytywnie
1,pl,Polski,3,Rutyna górą!
1,pl,Polski,4,Złe zachowanie
1,pl,Polski,5,Zachowaj spokój i poradź sobie ze stresem
1,pl,Polski,6,Rozmowy o koronawirusie
1,ro,Română,1,Timp Unu la Unu
1,ro,Română,2,Mențineți lucrurile pozitive
1,ro,Română,3,Mențineți o structură!
1,ro,Română,4,Comportamente Problematice
1,ro,Română,5,Păstrați-vă calmul și Gestionați stresul
1,ro,Română,6,Vorbiți despre COVID-19
2,ru,Русский,1,Личное время с ребенком
2,ru,Русский,2,Поддерживайте Позитивный Настрой
2,ru,Русский,3,Структурируйте
2,ru,Русский,4,Плохое Поведение
2,ru,Русский,5,Будьте Спокойны и Справляйтесь со Стрессом
2,ru,Русский,6,Разговоры о COVID-19
2,ru,Русский,7,Обучение через игру
2,ru,Русский,8,Когда мы злимся
2,ru,Русский,9,Воспитание в переполненных домах и общинах
2,ru,Русский,10,Семейная гармония дома
2,ru,Русский,11,Семейный бюджет во время финансового кризиса
2,ru,Русский,12,Обеспечение безопасности детей в Интернете
2,ru,Русский,13,Советы для воспитания детей-инвалидов
2,ru,Русский,14,Советы по воспитанию подростков
2,ru,Русский,15,У вас недавно родился ребенок?
1,ss,siSwati,1,Kucitsa sikhatsi kanye kanye
1,ss,siSwati,2,Kugcine Kukahle
1,ss,siSwati,3,Yenta luhlelo lolufaka imisebenti nesikhatsi!
1,ss,siSwati,4,Sento Lesibi
1,ss,siSwati,5,Yehlisa umoya unciphise kukhatsateka
1,ss,siSwati,6,Kukhuluma nge COVID-19
1,sk,Slovenčina,1,Čas vyhradený jeden pre druhého
1,sk,Slovenčina,2,Zvoľte pozitívny prístup
1,sk,Slovenčina,3,Dajte dňom štruktúru!
1,sk,Slovenčina,4,Zlé správanie
1,sk,Slovenčina,5,Snažte sa zachovať pokoj a zvládnuť stres
1,sk,Slovenčina,6,Rozprávajte sa o COVID-19
1,sw-ke,Kiswahili(Kenya),1,Wakati wa moja kwa moja
1,sw-ke,Kiswahili(Kenya),2,Kuweka chanya
1,sw-ke,Kiswahili(Kenya),3,Muundo juu!
1,sw-ke,Kiswahili(Kenya),4,Tabia mbaya
1,sw-ke,Kiswahili(Kenya),5,Tulia ili uwezane na msongo
1,sw-ke,Kiswahili(Kenya),6,Mazungumzo kuhusu COVID-19
1,sv,Svenska,1,En- till-en-tid
1,sv,Svenska,2,Försök hålla uppe humöret
1,sv,Svenska,3,Strukturera!
1,sv,Svenska,4,Dåligt uppförande
1,sv,Svenska,5,Att behålla lugnet och klara av oron
1,sv,Svenska,6,Att prata om COVID-19
1,so,Af-Soomaali,1,Xilli Gooni la lsla Yahay
1,so,Af-Soomaali,2,Dhawrista Niyad Wanaaga
1,so,Af-Soomaali,3,Qaabee
1,so,Af-Soomaali,4,Xallinta Dhibaatooyinka
1,so,Af-Soomaali,5,Isdeji oo maaree cidhiidhiga nafsadeed
1,so,Af-Soomaali,6,Ka-hadalka COVID-19
1,de,Deutsch,7,Online Kinderschutz
1,de,Deutsch,8,Familien Budget
1,de,Deutsch,9,Familienbeziehungen
1,de,Deutsch,10,Lernen durch spielen
1,de,Deutsch,11,Umgang mit Ärger
1,de,Deutsch,12,Überfülltes Haus?
1,de,Deutsch,1,Zeit zu Zweit
1,de,Deutsch,2,Positiv bleiben
1,de,Deutsch,3,Struktur ist wichtig!
1,de,Deutsch,6,Schlechtes Benehmen
1,de,Deutsch,5,Bleibe ruhig und lerne mit Stress umzugehen
1,de,Deutsch,4,Reden über COVID-19
2,ar,العربية,15,هل أنت والد لرضيع
2,ar,العربية,14,نصائح لأهالي المراهقين
2,ar,العربية,13,نصائح للأطفال ذوي الاحتياجات الخاصة 
2,ar,العربية,3,التنظیم والترتیب
2,ar,العربية,2,حافـِظ على   الإیجابیة
2,ar,العربية,1,وقت  خاص واحد لو احد
2,ar,العربية,4,   ك ن مستعداً للتحدث عن COVID-19
2,ar,العربية,5,حافظ على ھدوءك وتعامل مع القلق والتوتر
2,ar,العربية,6,سلوك/تصرف  سيء
2,ar,العربية,9,إندماج الأسري في البیت
2,ar,العربية,8,المیزانیة الأسریة في أوقات الأزمات
2,ar,العربية,7,الحفاظ على أمان الأطفال في الشبكة
2,ar,العربية,12,والدیة في بیوت ومجتمعات مزدحمة
2,ar,العربية,11,عندما نغضب
2,ar,العربية,10,التعلّم عن طریق اللعب
